Channel			  :,CH1
Frequency			  :,F=  ?
Period 			  :,T=  ?
PK-PK				  :,Vpp=4.480V
Average			  :,V=-13.80mV
Vertical pos		  :,0.00mV
Probe attenuation	  :,10X
Voltage per ADC value:,40.00mV
Time interval		  :,0.00uS

index,CH1_Voltage(mV)
1807,-1240.00
1808,-920.00
1809,-560.00
1810,-80.00
1811,360.00
1812,840.00
1813,1320.00
1814,1680.00
1815,1960.00
1816,2120.00
1817,2080.00
1818,2000.00
1819,1760.00
1820,1560.00
1821,1360.00
1822,1400.00
1823,1320.00
1824,1360.00
1825,1320.00
1826,1400.00
1827,1360.00
1828,1480.00
1829,1360.00
1830,1440.00
1831,1360.00
1832,1280.00
1833,920.00
1834,600.00
1835,80.00
1836,-360.00
1837,-840.00
1838,-1320.00
1839,-1720.00
1840,-1960.00
1841,-2120.00
1842,-2080.00
1843,-1960.00
1844,-1720.00
1845,-1480.00
1846,-1400.00
1847,-1320.00
1848,-1360.00
1849,-1320.00
1850,-1360.00
1851,-1360.00
1852,-1400.00
1853,-1360.00
1854,-1400.00
1855,-1400.00
1856,-1360.00
1857,-1240.00
1858,-920.00
1859,-520.00
1860,-80.00
1861,360.00
1862,880.00
1863,1320.00
1864,1680.00
1865,1960.00
1866,2120.00
1867,2080.00
1868,1960.00
1869,1680.00
1870,1560.00
1871,1360.00
1872,1360.00
1873,1320.00
1874,1360.00
1875,1320.00
1876,1400.00
1877,1360.00
1878,1480.00
1879,1360.00
1880,1440.00
1881,1360.00
1882,1280.00
1883,920.00
1884,640.00
1885,80.00
1886,-360.00
1887,-840.00
1888,-1320.00
1889,-1680.00
1890,-1960.00
1891,-2080.00
1892,-2080.00
1893,-1960.00
1894,-1720.00
1895,-1480.00
1896,-1400.00
1897,-1320.00
1898,-1360.00
1899,-1320.00
1900,-1360.00
1901,-1360.00
1902,-1400.00
1903,-1400.00
1904,-1440.00
1905,-1400.00
1906,-1360.00
1907,-1240.00
1908,-920.00
1909,-520.00
1910,-80.00
1911,360.00
1912,840.00
1913,1320.00
1914,1680.00
1915,1960.00
1916,2120.00
1917,2080.00
1918,1960.00
1919,1760.00
1920,1560.00
1921,1360.00
1922,1400.00
1923,1320.00
1924,1400.00
1925,1320.00
1926,1400.00
1927,1360.00
1928,1480.00
1929,1400.00
1930,1440.00
1931,1360.00
1932,1280.00
1933,920.00
1934,600.00
1935,80.00
1936,-360.00
1937,-840.00
